question,answer
다음 단어와 유의어가 아닌 것은?,바다
다음 중 '행복'의 의미에 가까운 것은?,기쁨
다음 단어와 반대 의미를 가진 것은?,추위
다음 문장과 같은 의미를 가진 단어는?,달리다
다음 중 '슬픔'과 가장 가까운 것은?,우울
다음 단어와 의미가 반대인 것은?,밝음
다음 단어와 유사한 의미를 가진 것은?,신속
다음 중 '큰'의 반대말은?,작은
다음 단어와 유의어가 아닌 것은?,하늘
다음 중 '기쁨'과 가장 관련 있는 단어는?,행복
다음 단어와 반대 의미를 가진 것은?,뜨거움
다음 문장과 같은 의미를 가진 단어는?,걷다
다음 단어와 가장 가까운 의미를 가진 것은?,빠르다
다음 중 '차갑다'의 반대말은?,따뜻하다
다음 단어와 의미가 반대인 것은?,무겁다
다음 중 '슬프다'와 유사한 단어는?,우울하다
다음 단어와 유의어가 아닌 것은?,나무
다음 중 '행복'과 관련 없는 것은?,슬픔
다음 단어와 의미가 반대인 것은?,가볍다
다음 문장과 같은 의미를 가진 단어는?,달리다
다음 단어와 가장 가까운 의미를 가진 것은?,밝다
다음 중 '높다'의 반대말은?,낮다
다음 단어와 의미가 반대인 것은?,빠르다
다음 중 '슬픔'과 유사한 단어는?,애수
다음 단어와 유의어가 아닌 것은?,산
다음 중 '기쁨'과 관련 없는 단어는?,화남
다음 단어와 의미가 반대인 것은?,어둡다
다음 문장과 같은 의미를 가진 단어는?,달다
다음 단어와 가장 가까운 의미를 가진 것은?,강하다
다음 중 '차갑다'의 반대말은?,뜨겁다
다음 단어와 의미가 반대인 것은?,가볍다
다음 중 '행복'과 유사한 단어는?,기쁨
다음 단어와 유의어가 아닌 것은?,물
다음 중 '슬픔'과 관련 없는 단어는?,웃음
다음 단어와 의미가 반대인 것은?,차갑다
다음 문장과 같은 의미를 가진 단어는?,달리다
다음 단어와 가장 가까운 의미를 가진 것은?,빠르다
다음 중 '높다'의 반대말은?,낮다
다음 단어와 의미가 반대인 것은?,무겁다
다음 중 '슬프다'와 유사한 단어는?,우울하다
다음 단어와 유의어가 아닌 것은?,나무
다음 중 '행복'과 관련 없는 것은?,슬픔
다음 단어와 의미가 반대인 것은?,가볍다
다음 문장과 같은 의미를 가진 단어는?,걷다
다음 단어와 가장 가까운 의미를 가진 것은?,밝다
다음 중 '높다'의 반대말은?,낮다
다음 느리다와 의미가 반대인 것은?,빠르다
다음 중 '슬픔'과 유사한 단어는?,애수
다음 단어와 유의어가 아닌 것은?,산
다음 중 '기쁨'과 관련 없는 단어는?,화남
다음 중 '슬픔'과 가장 가까운 것은?,비애
다음 단어와 반대 의미를 가진 것은?,어둠
다음 문장과 같은 의미를 가진 단어는?,달리다
다음 단어와 의미가 반대인 것은?,뜨겁다
다음 단어와 유사한 의미를 가진 것은?,빠르다
다음 중 '작다'의 반대말은?,크다
다음 단어와 유의어가 아닌 것은?,강아지
다음 중 '기쁨'과 가장 관련 있는 단어는?,행복
다음 단어와 반대 의미를 가진 것은?,차갑다
다음 문장과 같은 의미를 가진 단어는?,걷다
다음 단어와 가장 가까운 의미를 가진 것은?,신속하다
다음 중 '차갑다'의 반대말은?,따뜻하다
다음 단어와 의미가 반대인 것은?,무겁다
다음 중 '슬프다'와 유사한 단어는?,우울
다음 단어와 유의어가 아닌 것은?,꽃
다음 중 '행복'과 관련 없는 것은?,슬픔
다음 단어와 의미가 반대인 것은?,가볍다
다음 문장과 같은 의미를 가진 단어는?,달다
다음 단어와 가장 가까운 의미를 가진 것은?,강하다
다음 중 '뜨겁다'의 반대말은?,차갑다
다음 단어와 의미가 반대인 것은?,느리다
다음 중 '슬픔'과 유사한 단어는?,비탄
다음 단어와 유의어가 아닌 것은?,집
다음 중 '기쁨'과 관련 없는 단어는?,분노
다음 단어와 의미가 반대인 것은?,어둡다
다음 문장과 같은 의미를 가진 단어는?,달리다
다음 단어와 가장 가까운 의미를 가진 것은?,밝다
다음 중 '높다'의 반대말은?,낮다
다음 단어와 의미가 반대인 것은?,무겁다
다음 중 '슬프다'와 유사한 단어는?,애도
다음 단어와 유의어가 아닌 것은?,바람
다음 중 '행복'과 관련 없는 것은?,우울
다음 단어와 의미가 반대인 것은?,가볍다
다음 문장과 같은 의미를 가진 단어는?,걷다
다음 단어와 가장 가까운 의미를 가진 것은?,빠르다
다음 중 '뜨겁다'의 반대말은?,차갑다
다음 단어와 의미가 반대인 것은?,느리다
다음 중 '슬픔'과 유사한 단어는?,비탄
